planning_unit,regime,beam_width,rounding_multiplier,baseline_cost,approximate_dp_cost,relative_cost_change_pct
FOODS_2_197__CA_3,long_lead,192,0.1,2563.416569864527,632.4517021541551,-75.3277828664586
FOODS_2_197__CA_3,long_lead,192,0.2,2563.416569864527,632.4517021541551,-75.3277828664586
FOODS_2_197__CA_3,tight_capacity,48,0.05,2434.551020788086,3195.834488199213,31.269973843665532
FOODS_2_197__CA_3,tight_capacity,48,0.1,2434.551020788086,3195.834488199213,31.269973843665532
FOODS_2_197__CA_3,tight_capacity,48,0.2,2434.551020788086,3195.834488199213,31.269973843665532
FOODS_2_197__CA_3,tight_capacity,96,0.05,2434.551020788086,3195.834488199213,31.269973843665532
FOODS_2_197__CA_3,tight_capacity,96,0.1,2434.551020788086,3195.834488199213,31.269973843665532
FOODS_2_197__CA_3,tight_capacity,96,0.2,2434.551020788086,2416.712960335734,-0.732704317964053
FOODS_2_197__CA_3,tight_capacity,192,0.05,2434.551020788086,2417.576353192877,-0.6972401666782222
FOODS_2_197__CA_3,tight_capacity,192,0.1,2434.551020788086,2417.576353192877,-0.6972401666782222
FOODS_2_197__CA_3,tight_capacity,192,0.2,2434.551020788086,2417.576353192877,-0.6972401666782222
FOODS_2_276__CA_3,long_lead,48,0.05,1732.5539578446294,700.6167383043664,-59.561620858494734
FOODS_2_276__CA_3,long_lead,48,0.1,1732.5539578446294,700.6167383043664,-59.561620858494734
FOODS_2_276__CA_3,long_lead,48,0.2,1732.5539578446294,700.6167383043664,-59.561620858494734
FOODS_2_276__CA_3,long_lead,96,0.05,1732.5539578446294,700.6167383043664,-59.561620858494734
FOODS_2_276__CA_3,long_lead,96,0.1,1732.5539578446294,700.6167383043664,-59.561620858494734
FOODS_2_276__CA_3,long_lead,96,0.2,1732.5539578446294,700.6167383043664,-59.561620858494734
FOODS_2_276__CA_3,long_lead,192,0.05,1732.5539578446294,715.1550448999151,-58.72249509679927
FOODS_2_276__CA_3,long_lead,192,0.1,1732.5539578446294,715.1550448999151,-58.72249509679927
FOODS_2_276__CA_3,long_lead,192,0.2,1732.5539578446294,715.1550448999151,-58.72249509679927
FOODS_2_276__CA_3,tight_capacity,48,0.05,3552.0495144828615,2769.717600017458,-22.024803181250192
FOODS_2_276__CA_3,tight_capacity,48,0.1,3552.0495144828615,2795.0104999999994,-21.312738220460265
FOODS_2_276__CA_3,tight_capacity,48,0.2,3552.0495144828615,2795.0104999999994,-21.312738220460265
FOODS_2_276__CA_3,tight_capacity,96,0.05,3552.0495144828615,3160.2960449335415,-11.02894168428716
FOODS_2_276__CA_3,tight_capacity,96,0.1,3552.0495144828615,3651.326866885328,2.7949315457929407
FOODS_2_276__CA_3,tight_capacity,96,0.2,3552.0495144828615,3159.0086699335416,-11.065184844602095
FOODS_2_276__CA_3,tight_capacity,192,0.05,3552.0495144828615,3159.0086699335416,-11.065184844602095
FOODS_2_276__CA_3,tight_capacity,192,0.1,3552.0495144828615,3159.0086699335416,-11.065184844602095
FOODS_2_276__CA_3,tight_capacity,192,0.2,3552.0495144828615,3159.0086699335416,-11.065184844602095
FOODS_2_360__CA_3,long_lead,48,0.05,7955.319642857146,8160.5207271080035,2.579419727466278
FOODS_2_360__CA_3,long_lead,48,0.1,7955.319642857146,8160.5207271080035,2.579419727466278
FOODS_2_360__CA_3,long_lead,48,0.2,7955.319642857146,8009.092155679432,0.6759315179820127
FOODS_2_360__CA_3,long_lead,96,0.05,7955.319642857146,8160.5207271080035,2.579419727466278
FOODS_2_360__CA_3,long_lead,96,0.1,7955.319642857146,8160.5207271080035,2.579419727466278
FOODS_2_360__CA_3,long_lead,96,0.2,7955.319642857146,8009.092155679432,0.6759315179820127
FOODS_2_360__CA_3,long_lead,192,0.05,7955.319642857146,8160.5207271080035,2.579419727466278
FOODS_2_360__CA_3,long_lead,192,0.1,7955.319642857146,8160.5207271080035,2.579419727466278
FOODS_2_360__CA_3,long_lead,192,0.2,7955.319642857146,8009.092155679432,0.6759315179820127
FOODS_2_360__CA_3,tight_capacity,48,0.05,15111.245223929798,15223.787678571438,0.7447596341261162
FOODS_2_360__CA_3,tight_capacity,48,0.1,15111.245223929798,15223.787678571438,0.7447596341261162
FOODS_2_360__CA_3,tight_capacity,48,0.2,15111.245223929798,15223.787678571438,0.7447596341261162
FOODS_2_360__CA_3,tight_capacity,96,0.05,15111.245223929798,15223.787678571438,0.7447596341261162
FOODS_2_360__CA_3,tight_capacity,96,0.1,15111.245223929798,15223.787678571438,0.7447596341261162
FOODS_2_360__CA_3,tight_capacity,96,0.2,15111.245223929798,15223.787678571438,0.7447596341261162
FOODS_2_360__CA_3,tight_capacity,192,0.05,15111.245223929798,15223.787678571438,0.7447596341261162
FOODS_2_360__CA_3,tight_capacity,192,0.1,15111.245223929798,15223.787678571438,0.7447596341261162
